21
   1	1s      2   90526
   2	2s      2   16388
   3	2p1/2	2   15711
   4	2p3/2	4   13419
   5	3s      2   3999
   6	3p1/2	2   3696
   7	3p3/2	4   3177
   8	3d3/2	4   2688
   9    3d5/2	6   2580
   10	4s      2   939
   11	4p1/2	2   805.2
   12	4p3/2	4   678.8
   13	4d3/2	2   464
   14	4d5/2	2   440.1
   15	4f5/2	2   162.3
   16	4f7/2	2   157
   17	5s      2   159.3
   18	5p1/2	2   119
   19	5p3/2	2   92.6
   20	5d3/2	2   26.9
   21	5d5/2	2   23.8
   4  5 15  2.41119000E-04  9.27723000E+03
   4  5 16  4.23295000E-04  9.28293000E+03
   4  6  6  2.81305000E-05  6.03960000E+03
   4  6  7  3.44288000E-02  6.56540000E+03
   4  6  8  1.59853000E-03  7.03430000E+03
   4  6  9  1.34196000E-02  7.14630000E+03
   4  6 10  6.87643000E-05  8.80887000E+03
   4  6 11  1.60749000E-05  8.93287000E+03
   4  6 12  5.64519000E-03  9.06314000E+03
   4  6 13  3.07210000E-04  9.26735000E+03
   4  6 14  2.13476000E-03  9.29169000E+03
   4  6 15  2.32189000E-04  9.55843000E+03
   4  6 16  5.80029000E-04  9.56413000E+03
   4  7  7  4.31018000E-02  7.09120000E+03
   4  7  8  4.51464000E-02  7.56010000E+03
   4  7  9  6.05424000E-02  7.67210000E+03
   4  7 10  5.23524000E-03  9.33467000E+03
   4  7 11  7.88413000E-03  9.45867000E+03
   4  7 12  1.71221000E-02  9.58894000E+03
   4  7 13  9.39747000E-03  9.79315000E+03
   4  7 14  1.24372000E-02  9.81749000E+03
   4  7 15  8.55101000E-04  1.00842000E+04
   4  7 16  1.05071000E-03  1.00899000E+04
   4  8  8  6.20562000E-03  8.02900000E+03
   4  8  9  1.16070000E-01  8.14100000E+03
   4  8 10  6.38966000E-04  9.80357000E+03
   4  8 11  3.87138000E-04  9.92757000E+03
   4  8 12  6.73269000E-03  1.00578000E+04
   4  8 13  2.19107000E-03  1.02620000E+04
   4  8 14  1.71443000E-02  1.02864000E+04
   4  8 15  4.69741000E-04  1.05531000E+04
   4  8 16  1.59047000E-03  1.05588000E+04
   4  9  9  7.71854000E-02  8.25300000E+03
   4  9 10  1.12114000E-03  9.91557000E+03
   4  9 11  2.78395000E-03  1.00396000E+04
   4  9 12  1.01718000E-02  1.01698000E+04
   4  9 13  2.07078000E-02  1.03740000E+04
   4  9 14  2.60946000E-02  1.03984000E+04
   4  9 15  4.96097000E-03  1.06651000E+04
   4  9 16  4.50834000E-03  1.06708000E+04
   4 10 10  2.63450000E-05  1.15781000E+04
   4 10 11  1.29496000E-05  1.17021000E+04
   4 10 12  8.26536000E-04  1.18324000E+04
   4 10 13  7.41263000E-05  1.20366000E+04
   4 10 14  1.18782000E-04  1.20610000E+04
   4 10 15  3.21514000E-05  1.23277000E+04
   4 10 16  6.38550000E-05  1.23334000E+04
   4 11 11  8.92999000E-07  1.18261000E+04
   4 11 12  1.28466000E-03  1.19564000E+04
   4 11 13  6.96557000E-05  1.21606000E+04
   4 11 14  4.74207000E-04  1.21850000E+04
   4 11 15  3.43812000E-05  1.24517000E+04
   4 11 16  8.12625000E-05  1.24574000E+04
   4 12 12  1.62669000E-03  1.20867000E+04
   4 12 13  1.40474000E-03  1.22909000E+04
   4 12 14  2.05796000E-03  1.23152000E+04
   4 12 15  1.04927000E-04  1.25820000E+04
   4 12 16  1.35738000E-04  1.25877000E+04
   4 13 13  1.85760000E-04  1.24951000E+04
   4 13 14  3.19837000E-03  1.25194000E+04
   4 13 15  5.53678000E-05  1.27862000E+04
   4 13 16  1.77712000E-04  1.27919000E+04
   4 14 14  2.22460000E-03  1.25438000E+04
   4 14 15  5.74600000E-04  1.28105000E+04
   4 14 16  5.13702000E-04  1.28162000E+04
   4 15 15  2.36790000E-06  1.30773000E+04
   4 15 16  7.24602000E-05  1.30830000E+04
   4 16 16  2.41136000E-05  1.30887000E+04
   5  6  0  1.02441000E-05  2.81200000E+02
