24
    1 1s1/2 2  9.31060000E+04
    3  4 10  4.84218000E-03  1.50836000E+03
    3  4 11  3.57471000E-02  1.63570000E+03
    3  4 12  9.56403000E-03  1.77504000E+03
    3  4 13  3.52403000E-02  1.98444000E+03
    3  4 14  1.20561000E-02  2.01046000E+03
    3  4 15  1.52379000E-03  2.28450000E+03
    3  4 16  2.25886000E-03  2.29070000E+03
    3  5  5  5.33620000E-04  8.04180000E+03
    3  5  6  1.93731000E-02  8.32920000E+03
    3  5  7  1.79065000E-03  8.88790000E+03
    3  5  8  3.15404000E-03  9.36590000E+03
    3  5  9  1.63858000E-03  9.48430000E+03
    3  5 10  2.07898000E-04  1.11978000E+04
    3  5 11  3.14885000E-03  1.13251000E+04
    3  5 12  3.90254000E-04  1.14644000E+04
    3  5 13  5.00254000E-04  1.16738000E+04
    3  5 14  2.21767000E-04  1.16999000E+04
    3  5 15  8.70624000E-05  1.19739000E+04
    3  5 16  6.10704000E-05  1.19801000E+04
    3  6  6  2.03666000E-02  8.61660000E+03
    3  6  7  5.05158000E-02  9.17530000E+03
    3  6  8  2.60157000E-02  9.65330000E+03
    3  6  9  3.62394000E-02  9.77170000E+03
    3  6 10  5.05158000E-03  1.14852000E+04
    3  6 11  8.43796000E-03  1.16125000E+04
    3  6 12  1.20635000E-02  1.17518000E+04
    3  6 13  5.82232000E-03  1.19612000E+04
    3  6 14  8.09464000E-03  1.19873000E+04
    3  6 15  4.54353000E-04  1.22613000E+04
    3  6 16  3.89372000E-04  1.22675000E+04
    3  7  7  1.13183000E-03  9.73400000E+03
    3  7  8  2.28182000E-02  1.02120000E+04
    3  7  9  3.35469000E-03  1.03304000E+04
    3  7 10  3.91113000E-04  1.20439000E+04
    3  7 11  8.34926000E-03  1.21712000E+04
    3  7 12  4.64317000E-04  1.23105000E+04
    3  7 13  4.31232000E-03  1.25199000E+04
    3  7 14  6.11613000E-04  1.25460000E+04
    3  7 15  1.78885000E-04  1.28200000E+04
    3  7 16  9.31257000E-05  1.28262000E+04
    3  8  8  2.15965000E-02  1.06900000E+04
    3  8  9  8.51986000E-02  1.08084000E+04
    3  8 10  8.25507000E-04  1.25219000E+04
    3  8 11  4.15587000E-03  1.26492000E+04
    3  8 12  5.03167000E-03  1.27885000E+04
    3  8 13  8.01992000E-03  1.29979000E+04
    3  8 14  1.70669000E-02  1.30240000E+04
    3  8 15  1.57010000E-03  1.32980000E+04
    3  8 16  3.15955000E-03  1.33042000E+04
    3  9  9  4.14373000E-03  1.09268000E+04
    3  9 10  3.44351000E-04  1.26403000E+04
    3  9 11  5.10176000E-03  1.27676000E+04
    3  9 12  6.81308000E-04  1.29069000E+04
    3  9 13  1.29826000E-02  1.31163000E+04
    3  9 14  1.51078000E-03  1.31424000E+04
    3  9 15  6.26313000E-04  1.34164000E+04
    3  9 16  2.39090000E-04  1.34226000E+04
    3 10 10  1.94904000E-05  1.43537000E+04
    3 10 11  8.25112000E-04  1.44811000E+04
    3 10 12  8.57568000E-05  1.46204000E+04
    3 10 13  1.27338000E-04  1.48298000E+04
    3 10 14  4.63430000E-05  1.48558000E+04
    3 10 15  1.99234000E-05  1.51299000E+04
    3 10 16  1.12613000E-05  1.51361000E+04
    3 11 11  8.29913000E-04  1.46084000E+04
    3 11 12  1.99798000E-03  1.47477000E+04
    3 11 13  9.16519000E-04  1.49571000E+04
    3 11 14  1.15130000E-03  1.49832000E+04
    3 11 15  5.97728000E-05  1.52572000E+04
    3 11 16  4.02809000E-05  1.52634000E+04
    3 12 12  4.76462000E-05  1.48871000E+04
    3 12 13  9.58103000E-04  1.50965000E+04
    3 12 14  1.26047000E-04  1.51225000E+04
    3 12 15  3.42173000E-05  1.53965000E+04
    3 12 16  1.64592000E-05  1.54027000E+04
    3 13 13  7.38476000E-04  1.53059000E+04
    3 13 14  2.71045000E-03  1.53319000E+04
    3 13 15  1.99667000E-04  1.56059000E+04
    3 13 16  4.05411000E-04  1.56121000E+04
    3 14 14  1.39035000E-04  1.53579000E+04
    3 14 15  8.66233000E-05  1.56320000E+04
    3 14 16  3.37833000E-05  1.56382000E+04
    3 15 15  4.76455000E-06  1.59060000E+04
    3 15 16  3.24847000E-05  1.59122000E+04
    3 16 16  2.16560000E-06  1.59184000E+04
    4  5  0  1.68141000E-02  9.66420000E+03
    4  6  0  1.86501000E-04  9.96670000E+03
    4  7  0  1.68661000E-04  1.05186000E+04
    4  8  0  2.93981000E-02  1.10160000E+04
    4  9  0  2.58731000E-01  1.11309000E+04
    4 10  0  3.90222000E-03  1.28187000E+04
    4 11  0  4.21452000E-05  1.29613000E+04
    4 12  0  4.37582000E-05  1.30956000E+04
    4 13  0  5.59743000E-03  1.33143000E+04
    4 14  0  5.07262000E-02  1.33405000E+04
    4 15  0  4.93882000E-05  1.36260000E+04
    4 16  0  2.75191000E-04  1.36317000E+04
    4 17  0  8.73494000E-04  1.36357000E+04
    4 18  0  8.87004000E-06  1.36813000E+04
    4 19  0  9.38665000E-06  1.37095000E+04
    4 20  0  7.79054000E-04  1.37748000E+04
    4 21  0  6.97283000E-03  1.37785000E+04
    4 24  0  1.29581000E-04  1.37967000E+04
    4 25  0  6.02093000E-07  1.38068000E+04
    4 26  0  5.37213000E-07  1.38096000E+04
    4  5  5  6.44730000E-04  5.56180000E+03
    4  5  6  3.14370000E-04  5.84920000E+03
    4  5  7  2.01900000E-02  6.40790000E+03
    4  5  8  2.65718000E-03  6.88590000E+03
    4  5  9  4.68104000E-03  7.00430000E+03
    4  5 10  2.53393000E-04  8.71776000E+03
    4  5 11  5.57822000E-05  8.84510000E+03
    4  5 12  3.20517000E-03  8.98444000E+03
    4  5 13  2.87556000E-04  9.19384000E+03
    4  5 14  4.69614000E-04  9.21986000E+03
    4  5 15  2.49947000E-04  9.49390000E+03
    4  5 16  4.37179000E-04  9.50010000E+03
    4  6  6  2.29189000E-05  6.13660000E+03
    4  6  7  3.38738000E-02  6.69530000E+03
    4  6  8  1.55282000E-03  7.17330000E+03
    4  6  9  1.29124000E-02  7.29170000E+03
    4  6 10  6.52976000E-05  9.00516000E+03
    4  6 11  1.42700000E-05  9.13250000E+03
    4  6 12  5.58849000E-03  9.27184000E+03
    4  6 13  3.00086000E-04  9.48124000E+03
    4  6 14  2.06774000E-03  9.50726000E+03
    4  6 15  2.38255000E-04  9.78130000E+03
    4  6 16  5.91970000E-04  9.78750000E+03
    4  7  7  4.21817000E-02  7.25400000E+03
    4  7  8  4.41957000E-02  7.73200000E+03
    4  7  9  5.89211000E-02  7.85040000E+03
    4  7 10  5.17744000E-03  9.56386000E+03
    4  7 11  7.80111000E-03  9.69120000E+03
    4  7 12  1.68616000E-02  9.83054000E+03
    4  7 13  9.30353000E-03  1.00399000E+04
    4  7 14  1.22495000E-02  1.00660000E+04
    4  7 15  8.64827000E-04  1.03400000E+04
    4  7 16  1.05898000E-03  1.03462000E+04
    4  8  8  6.05387000E-03  8.21000000E+03
    4  8  9  1.13224000E-01  8.32840000E+03
    4  8 10  6.42161000E-04  1.00419000E+04
    4  8 11  3.80091000E-04  1.01692000E+04
    4  8 12  6.62858000E-03  1.03085000E+04
    4  8 13  2.15513000E-03  1.05179000E+04
    4  8 14  1.68620000E-02  1.05440000E+04
    4  8 15  4.73929000E-04  1.08180000E+04
    4  8 16  1.60168000E-03  1.08242000E+04
    4  9  9  7.52171000E-02  8.44680000E+03
    4  9 10  1.14542000E-03  1.01603000E+04
    4  9 11  2.69212000E-03  1.02876000E+04
    4  9 12  9.94954000E-03  1.04269000E+04
    4  9 13  2.03540000E-02  1.06363000E+04
    4  9 14  2.56490000E-02  1.06624000E+04
    4  9 15  4.99723000E-03  1.09364000E+04
    4  9 16  4.53665000E-03  1.09426000E+04
    4 10 10  2.55119000E-05  1.18737000E+04
    4 10 11  1.25400000E-05  1.20011000E+04
    4 10 12  8.22470000E-04  1.21404000E+04
    4 10 13  7.56765000E-05  1.23498000E+04
    4 10 14  1.23234000E-04  1.23758000E+04
    4 10 15  3.32957000E-05  1.26499000E+04
    4 10 16  6.57287000E-05  1.26561000E+04
    4 11 11  8.64801000E-07  1.21284000E+04
    4 11 12  1.27952000E-03  1.22677000E+04
    4 11 13  6.87550000E-05  1.24771000E+04
    4 11 14  4.62680000E-04  1.25032000E+04
    4 11 15  3.54591000E-05  1.27772000E+04
    4 11 16  8.30230000E-05  1.27834000E+04
    4 12 12  1.61251000E-03  1.24071000E+04
    4 12 13  1.39839000E-03  1.26165000E+04
    4 12 14  2.03666000E-03  1.26425000E+04
    4 12 15  1.06808000E-04  1.29165000E+04
    4 12 16  1.37506000E-04  1.29227000E+04
    4 13 13  1.84213000E-04  1.28259000E+04
    4 13 14  3.17131000E-03  1.28519000E+04
    4 13 15  5.62153000E-05  1.31259000E+04
    4 13 16  1.80321000E-04  1.31321000E+04
    4 14 14  2.19926000E-03  1.28779000E+04
    4 14 15  5.82475000E-04  1.31520000E+04
    4 14 16  5.19769000E-04  1.31582000E+04
    4 15 15  2.25076000E-06  1.34260000E+04
    4 15 16  7.38303000E-05  1.34322000E+04
    4 16 16  2.50799000E-05  1.34384000E+04
    5  6  0  1.02800000E-05  2.87400000E+02
    5  7  0  5.84788000E-04  8.46100000E+02
    5 11  0  1.76509000E-03  3.28330000E+03
    5 12  0  1.27280000E-03  3.42264000E+03
    5 18  0  4.01408000E-04  3.99187000E+03
    5 19  0  3.13589000E-04  4.02008000E+03
    5 25  0  2.88859000E-05  4.11735000E+03
    5 26  0  1.94869000E-05  4.12016000E+03
    5  7 12  5.41879000E-02  1.41140000E+02
    5  7 13  1.58595000E-02  3.50540000E+02
    5  7 14  2.89868000E-02  3.76560000E+02
    5  7 15  1.81632000E-01  6.50600000E+02
    5  7 16  2.23519000E-01  6.56800000E+02
    5  8 10  2.56014000E-02  3.52460000E+02
    5  8 11  5.53500000E-03  4.79800000E+02
    5  8 12  7.39743000E-03  6.19140000E+02
    5  8 13  8.80305000E-03  8.28540000E+02
    5  8 14  1.08022000E-02  8.54560000E+02
    5  8 15  9.27549000E-03  1.12860000E+03
    5  8 16  8.58319000E-03  1.13480000E+03
    5  9 10  3.55117000E-02  4.70860000E+02
    5  9 11  9.12326000E-04  5.98200000E+02
    5  9 12  1.12079000E-02  7.37540000E+02
    5  9 13  1.21839000E-02  9.46940000E+02
    5  9 14  1.71292000E-02  9.72960000E+02
    5  9 15  1.06498000E-02  1.24700000E+03
    5  9 16  1.64235000E-02  1.25320000E+03
    5 10 10  2.37340000E-03  2.18432000E+03
    5 10 11  4.16124000E-03  2.31166000E+03
    5 10 12  6.76560000E-03  2.45100000E+03
    5 10 13  7.94028000E-03  2.66040000E+03
    5 10 14  1.11283000E-02  2.68642000E+03
    5 10 15  5.79673000E-03  2.96046000E+03
    5 10 16  7.24997000E-03  2.96666000E+03
    5 11 11  1.72124000E-04  2.43900000E+03
    5 11 12  5.11107000E-04  2.57834000E+03
